time,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
0.000478753,-0.416279,-0.170859,2.30823,0.0236237,0.0256327,0.0851686,0.995757,0.0514928,0.0470412,0.171859
0.000563639,-0.472789,-0.151568,2.41288,0.450416,0.144934,0.28013,0.835252,0.985715,-0.0102375,0.641691
0.00059106,-0.420513,-0.185347,2.37367,0.118524,0.0279304,0.144726,0.98195,0.243299,0.0205468,0.295178
0.00296514,-0.421244,-0.187627,2.38128,0.0514374,0.0175574,0.114209,0.991969,0.106287,0.0230856,0.230487
0.0129329,-0.422186,-0.189406,2.38811,0.0137981,0.0210031,0.096382,0.995027,0.031537,0.0391476,0.193742
0.02284,-0.422801,-0.191401,2.39531,-0.00199147,0.0281816,0.0858488,0.995908,0.000873458,0.0565045,0.172003
0.0329348,-0.423454,-0.193024,2.40227,-0.00157866,0.0362496,0.0793407,0.996187,0.00261372,0.0725369,0.159048
0.0429466,-0.465136,-0.162141,2.48645,0.433718,0.189492,0.236433,0.848576,0.981534,0.116771,0.605913
0.0529624,-0.466359,-0.166228,2.49656,0.645983,0.25383,0.30472,0.652243,1.53416,-0.0626116,0.81375
0.0629729,-0.467109,-0.170202,2.50437,0.74568,0.276418,0.3341,0.505897,1.8457,-0.220365,0.877076
0.0728621,-0.468535,-0.173443,2.51139,0.79238,0.282976,0.349873,0.411883,2.02548,-0.327164,0.891357
0.0829009,-0.469873,-0.17564,2.51789,0.814235,0.284981,0.35945,0.355814,2.12774,-0.392557,0.893298
0.0929198,-0.471034,-0.176578,2.5241,0.82315,0.287269,0.365621,0.325917,2.17933,-0.42758,0.897264
0.103294,-0.471625,-0.176717,2.52989,0.825172,0.29136,0.368561,0.31363,2.19867,-0.439508,0.905614
0.112936,-0.428402,-0.207042,2.46088,0.581856,0.216307,0.285466,0.730181,1.3394,-0.0163153,0.732447
0.122988,-0.426608,-0.210626,2.4631,0.363291,0.151555,0.201812,0.896841,0.801575,0.125538,0.495928
0.133037,-0.426585,-0.213379,2.4687,0.215315,0.111388,0.144279,0.959383,0.467313,0.152184,0.334824
0.142925,-0.426566,-0.215448,2.47354,0.12334,0.091346,0.110155,0.981992,0.268677,0.152823,0.244111
0.152831,-0.426483,-0.217585,2.47802,0.0682888,0.0830655,0.0909825,0.99003,0.152692,0.15264,0.194981
0.162928,-0.426264,-0.219806,2.48238,0.0371946,0.0797879,0.0798522,0.992912,0.0877419,0.153102,0.167233
0.172909,-0.426046,-0.222024,2.48647,0.0204602,0.0777391,0.0723444,0.994135,0.0525598,0.152193,0.149295
0.18287,-0.42575,-0.224522,2.49048,0.0113279,0.0738929,0.0665993,0.994975,0.0327388,0.146053,0.136067
0.192941,-0.425322,-0.226578,2.49396,0.00563156,0.0684961,0.0636783,0.995601,0.0201244,0.136092,0.129117
0.202979,-0.424804,-0.228633,2.497,-4.9801e-05,0.0620425,0.0634285,0.996056,0.00783144,0.123919,0.127673
0.212828,-0.424262,-0.230575,2.50004,-0.0082398,0.0557532,0.0648484,0.996302,-0.00924613,0.112399,0.129475
0.222918,-0.423622,-0.232751,2.50262,-0.0198827,0.0508768,0.0662178,0.996309,-0.0330661,0.1042,0.131007
0.232879,-0.423058,-0.234632,2.50445,-0.0332479,0.0480003,0.0668793,0.996051,-0.0601507,0.100236,0.13107
0.24283,-0.422461,-0.236552,2.50593,-0.0472314,0.0486894,0.065776,0.995526,-0.0882194,0.10334,0.127386
0.252822,-0.421665,-0.238362,2.50655,-0.06019,0.0520658,0.0646417,0.99473,-0.113968,0.111596,0.123413
0.262872,-0.421007,-0.240174,2.50717,-0.0713707,0.0582702,0.0645445,0.993652,-0.135792,0.125342,0.121197
0.272819,-0.420073,-0.241959,2.50718,-0.0790021,0.0645773,0.0657418,0.992606,-0.150356,0.139035,0.121781
