time,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
0.000438938,-0.291385,-0.0464476,1.56186,-0.0110998,-0.00300871,-0.00620197,0.999915,3.11936,-3.13571,3.12912
0.000500608,-0.291613,-0.0467538,1.56208,-0.0175822,-0.0032656,-0.00443374,0.99983,3.1064,-3.13522,3.13261
0.000519881,-0.291751,-0.0466401,1.56205,-0.0183493,-0.00390667,-0.00427595,0.999815,3.10486,-3.13394,3.1329
0.000621624,-0.291902,-0.0463941,1.56204,-0.0180287,-0.00522969,-0.00470031,0.999813,3.10548,-3.1313,3.132
0.00063956,-0.292454,-0.0455969,1.56187,-0.0150892,-0.00974425,-0.00624522,0.999819,3.11129,-3.12229,3.12881
0.00787272,-0.292718,-0.0453124,1.56182,-0.0144432,-0.0107603,-0.00623071,0.999818,3.11257,-3.12025,3.12882
0.0176596,-0.293104,-0.0449894,1.56177,-0.0135288,-0.0107692,-0.00577948,0.999834,3.11441,-3.12021,3.12974
0.0276756,-0.293627,-0.0445917,1.56167,-0.012086,-0.00976147,-0.00558279,0.999864,3.11731,-3.12221,3.13019
0.0377944,-0.294224,-0.0441699,1.56162,-0.0108042,-0.0078299,-0.00550578,0.999896,3.1199,-3.12605,3.13041
0.0477919,-0.294831,-0.0436486,1.56155,-0.00879531,-0.0062998,-0.00572698,0.999925,3.12393,-3.12909,3.13003
0.0577473,-0.295522,-0.0431676,1.56145,-0.00645988,-0.00389692,-0.00536759,0.999957,3.12863,-3.13387,3.13081
0.0676987,-0.296239,-0.0426236,1.56134,-0.00347677,-0.0010023,-0.00514105,0.99998,3.13463,-3.13962,3.1313
0.0778142,-0.296964,-0.0421022,1.56123,-0.000514291,0.00189063,-0.00493982,0.999986,3.14058,3.13781,3.13171
0.0877971,-0.297654,-0.0415793,1.56109,0.00268168,0.00436281,-0.00529279,0.999973,0.00540964,0.00869711,-0.0106093
0.0976538,-0.298377,-0.0413225,1.56097,0.00394826,0.00752572,-0.00451431,0.999954,0.00796507,0.0150157,-0.00908879
0.107683,-0.298929,-0.0407913,1.5608,0.0070776,0.00876829,-0.00485228,0.999925,0.0142419,0.0174675,-0.0098296
0.117758,-0.299682,-0.0406732,1.56088,0.00692018,0.0125911,-0.00358455,0.99989,0.013934,0.0251324,-0.00734496
0.127781,-0.300473,-0.0399912,1.56055,0.00991549,0.0143938,-0.00453071,0.999837,0.0199677,0.0286969,-0.00934938
0.1378,-0.301182,-0.0394318,1.56042,0.0129628,0.0164911,-0.00536395,0.999766,0.0261136,0.0328412,-0.0111592
0.147745,-0.301823,-0.0391969,1.56025,0.0146574,0.0182893,-0.00546889,0.99971,0.0295301,0.0364157,-0.0114786
0.157727,-0.302215,-0.0389903,1.56014,0.0155801,0.0189894,-0.00504782,0.999686,0.0313697,0.0378187,-0.010692
0.167773,-0.302552,-0.0387115,1.56012,0.01638,0.0197121,-0.00454556,0.999661,0.0329594,0.039272,-0.00974146
0.177649,-0.303134,-0.0383935,1.56002,0.018155,0.0198123,-0.004949,0.999627,0.036529,0.0394403,-0.0106221
0.18765,-0.303616,-0.0383088,1.56006,0.0179457,0.0211917,-0.00485353,0.999603,0.0361228,0.0422048,-0.0104733
0.197725,-0.304106,-0.0381606,1.55997,0.0191162,0.0209318,-0.00498665,0.999586,0.0384682,0.0416677,-0.010779
0.207685,-0.304608,-0.0383628,1.56016,0.0170244,0.0233983,-0.00433649,0.999572,0.0342812,0.0466458,-0.0094764
0.217654,-0.304998,-0.0381101,1.56012,0.017925,0.0232652,-0.00533498,0.999554,0.0361289,0.0463349,-0.0115119
0.227682,-0.30536,-0.0380001,1.56022,0.0186653,0.0229371,-0.00636387,0.999542,0.0376536,0.0456314,-0.0135927
0.237665,-0.305736,-0.0383356,1.56056,0.0157846,0.024994,-0.00604179,0.999545,0.0319018,0.0497951,-0.0128834
0.247714,-0.306007,-0.0385664,1.56085,0.0125504,0.0265374,-0.00614944,0.99955,0.0254543,0.0529212,-0.012978
0.257654,-0.306402,-0.038752,1.56102,0.0095549,0.0273186,-0.00684426,0.999558,0.0195055,0.0545093,-0.0142261
0.267702,-0.306641,-0.0388534,1.56121,0.00646909,0.0275956,-0.00766247,0.999569,0.0133762,0.055096,-0.0156998
0.277977,-0.30685,-0.0390555,1.56143,0.00279997,0.0272988,-0.00820353,0.99959,0.00605458,0.0545564,-0.0165786
0.287731,-0.307215,-0.0393197,1.56166,-0.00160015,0.028209,-0.00886985,0.999561,3.13889,3.08514,3.12392
0.297769,-0.30726,-0.0392218,1.56169,-0.0032023,0.0265801,-0.00994844,0.999592,3.13571,3.08837,3.12184
0.30769,-0.307181,-0.0393084,1.56186,-0.00540052,0.0247153,-0.0100563,0.999629,3.13128,3.09205,3.12173
0.317781,-0.307327,-0.0394066,1.56208,-0.00816533,0.0244823,-0.0103925,0.999613,3.12576,3.09246,3.12119
0.327682,-0.307211,-0.0395386,1.56231,-0.0106398,0.0235253,-0.00970887,0.999619,3.12075,3.09434,3.12266
0.337637,-0.307332,-0.0397356,1.56249,-0.0134018,0.0237167,-0.00892174,0.999589,3.11519,3.09392,3.12437
0.347643,-0.307381,-0.0395545,1.56252,-0.0134523,0.0231965,-0.00894913,0.9996,3.11508,3.09496,3.12431
0.357684,-0.307315,-0.0394403,1.56256,-0.0128388,0.0224904,-0.00848629,0.999629,3.11628,3.0964,3.12519
0.367683,-0.307343,-0.0391482,1.56252,-0.0104545,0.0216427,-0.00856832,0.999674,3.12104,3.09813,3.1249
0.377758,-0.307112,-0.0389225,1.56253,-0.00785729,0.0203305,-0.00793747,0.999731,3.12619,3.10081,3.12603
0.387832,-0.306891,-0.0384551,1.56234,-0.00280307,0.018182,-0.00786498,0.9998,3.13627,3.10518,3.12596
0.397783,-0.30695,-0.038183,1.56209,0.00103891,0.0173167,-0.00845037,0.999814,0.00237152,0.0346163,-0.0169445
0.407732,-0.306759,-0.0377002,1.56183,0.0067402,0.0148564,-0.00956935,0.999821,0.0137688,0.0295828,-0.0193452
0.417701,-0.30664,-0.0376842,1.56176,0.00875948,0.015104,-0.00878999,0.999809,0.0177901,0.0300528,-0.0178502
0.427825,-0.306492,-0.0375154,1.56157,0.0113616,0.0141064,-0.00859074,0.999799,0.0229719,0.0280156,-0.0175063
0.437778,-0.306456,-0.0373588,1.56146,0.0137226,0.0139664,-0.00823202,0.999774,0.027683,0.0277041,-0.0168509
0.447708,-0.306357,-0.037358,1.56133,0.0137653,0.0139949,-0.00809027,0.999775,0.0277652,0.0277643,-0.0165693
0.45767,-0.306265,-0.0373146,1.56121,0.0135488,0.0136786,-0.00834832,0.99978,0.0273335,0.0271284,-0.0170707
0.467654,-0.306185,-0.0373408,1.56112,0.0124095,0.0134159,-0.00845134,0.999797,0.0250521,0.0266197,-0.0172392
0.477714,-0.305975,-0.0373307,1.56104,0.0105233,0.0125205,-0.00839923,0.999831,0.0212615,0.0248625,-0.0170652
0.48772,-0.305711,-0.0373588,1.56098,0.0083126,0.0109263,-0.00878034,0.999867,0.0168196,0.0217054,-0.0177451
0.497653,-0.305601,-0.0375367,1.56092,0.00494775,0.0100394,-0.00861242,0.9999,0.0100696,0.0199929,-0.0173268
0.507647,-0.305449,-0.0376031,1.56079,0.00250467,0.00841519,-0.00875842,0.999923,0.00515712,0.016786,-0.017561
0.51772,-0.305336,-0.0377462,1.56074,-0.000911728,0.00722626,-0.00872857,0.999935,3.1399,3.12712,3.12415
0.527707,-0.305181,-0.0378808,1.56072,-0.00408278,0.00545542,-0.00855372,0.99994,3.13352,3.13061,3.12453
0.537736,-0.305041,-0.0379623,1.56065,-0.00632846,0.00385859,-0.00844807,0.999937,3.129,3.13377,3.12475
0.547713,-0.30488,-0.0379298,1.56057,-0.00726261,0.00201752,-0.00851614,0.999935,3.1271,3.13743,3.12459
0.557702,-0.304772,-0.037904,1.56055,-0.00802986,0.000366864,-0.00858893,0.999931,3.12554,3.14072,3.12442
0.567702,-0.304686,-0.0379477,1.56066,-0.0102026,1.54005e-06,-0.00800786,0.999916,3.12119,3.14143,3.12558
0.577716,-0.304615,-0.0378102,1.56066,-0.0102733,-0.00095868,-0.00813724,0.999914,3.12103,-3.13984,3.1253
0.587718,-0.30468,-0.0376576,1.56061,-0.00983863,-0.0013875,-0.00877539,0.999912,3.12189,-3.13899,3.12402
0.597654,-0.304608,-0.0374856,1.56064,-0.00954889,-0.00240882,-0.00858943,0.999915,3.12245,-3.13694,3.12437
0.607672,-0.304638,-0.0372438,1.56065,-0.0088052,-0.00279842,-0.00846033,0.999922,3.12394,-3.13615,3.12462
0.617703,-0.304887,-0.0370403,1.56063,-0.00787968,-0.00177637,-0.00850957,0.999931,3.1258,-3.13817,3.12455
0.627641,-0.305057,-0.0368412,1.56066,-0.00732362,-0.00112363,-0.00826665,0.999938,3.12693,-3.13947,3.12504
0.637637,-0.305309,-0.0365763,1.56071,-0.00565252,0.00062691,-0.00831899,0.999949,3.1303,3.14024,3.12496
0.647693,-0.305585,-0.0365235,1.56073,-0.00618626,0.00396632,-0.00726224,0.999947,3.12928,3.13357,3.12712
0.657601,-0.305782,-0.0361199,1.56065,-0.00372332,0.00473774,-0.00745871,0.999954,3.13422,3.13206,3.12671
0.667659,-0.306017,-0.0357565,1.56062,-0.000838764,0.00645742,-0.00721439,0.999953,3.14001,3.12867,3.12717
0.677695,-0.306371,-0.0353931,1.56046,0.00234959,0.00869422,-0.00709337,0.999934,0.00482295,0.0173548,-0.0142293
0.687655,-0.30664,-0.034992,1.56036,0.00685191,0.00985334,-0.00717207,0.999902,0.0138469,0.0196077,-0.014481
0.6976,-0.306827,-0.0345925,1.56032,0.0109335,0.0109335,-0.00763793,0.999851,0.0220378,0.0216984,-0.0155169
0.707723,-0.307154,-0.0344996,1.56046,0.0118943,0.0145738,-0.00660552,0.999801,0.0239889,0.0289887,-0.0135612
0.717618,-0.307432,-0.034332,1.56045,0.0134716,0.0173007,-0.00588551,0.999742,0.0271594,0.0344408,-0.0122417
0.727641,-0.307663,-0.0342073,1.56033,0.0150733,0.0191819,-0.00549601,0.999687,0.0303748,0.0381955,-0.0115756
0.737671,-0.307876,-0.0338786,1.56014,0.0183807,0.0195472,-0.0061779,0.999621,0.0370254,0.0388622,-0.0130799
0.747635,-0.30802,-0.0336918,1.56002,0.020642,0.0197631,-0.00683407,0.999568,0.0415803,0.0392371,-0.0144898
0.757688,-0.308184,-0.0338252,1.55998,0.0203067,0.0208076,-0.00676384,0.999554,0.0409231,0.0413337,-0.0143795
0.767724,-0.308291,-0.0339818,1.55996,0.01945,0.0211431,-0.00655263,0.999566,0.0392049,0.0420254,-0.0139348
0.777671,-0.308321,-0.0340995,1.55992,0.018984,0.02048,-0.00645576,0.999589,0.0382579,0.0407093,-0.0136956
0.787745,-0.308427,-0.0340882,1.5598,0.0197192,0.0199237,-0.00729568,0.99958,0.0397541,0.0395534,-0.0153836
0.797757,-0.308316,-0.0341608,1.55977,0.0199862,0.018538,-0.00773802,0.999598,0.0402813,0.0367601,-0.0162225
0.807777,-0.30834,-0.0345049,1.5598,0.0183269,0.0187211,-0.00750478,0.999629,0.0369552,0.0371618,-0.0157017
0.817792,-0.308241,-0.0346591,1.55973,0.0191007,0.0165264,-0.00804326,0.999649,0.0384839,0.0327398,-0.0167219
0.8278,-0.308384,-0.0349684,1.55969,0.0183593,0.016346,-0.00880501,0.999659,0.0370218,0.0323632,-0.0182148
0.837718,-0.308455,-0.0352906,1.55973,0.0166867,0.0168414,-0.00941086,0.999675,0.0337047,0.033364,-0.0193897
0.847788,-0.308433,-0.0356887,1.55981,0.0147155,0.0170693,-0.0093031,0.999703,0.0297613,0.0338612,-0.0191152
