time,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
0.000429491,-0.0112169,0.00208474,1.51045,0.0205706,0.00543986,0.00304731,0.999769,0.0411127,0.0110028,0.00586981
0.000493338,-0.0111995,0.00204647,1.5104,0.0210422,0.00484771,0.00301031,0.999762,0.0420595,0.00981996,0.00581548
0.000511792,-0.0112299,0.00202424,1.5104,0.021161,0.00473842,0.00300216,0.99976,0.042298,0.00960177,0.00580264
0.000628124,-0.0112643,0.001997,1.51041,0.0212871,0.00463195,0.00299278,0.999758,0.042551,0.00938922,0.0057872
0.000647854,-0.0113845,0.00188957,1.51046,0.0216298,0.00423863,0.00298633,0.999753,0.0432386,0.00860446,0.00578806
0.00571365,-0.0114434,0.00185306,1.51047,0.0217273,0.00417694,0.00297351,0.999751,0.0434341,0.00848111,0.00576428
0.0155189,-0.0114977,0.00180522,1.51047,0.0218393,0.00408956,0.00298202,0.999749,0.0436587,0.00830742,0.00578414
0.0255007,-0.0115617,0.00175773,1.51048,0.0219489,0.00400345,0.00299319,0.999747,0.0438782,0.00813636,0.00580934
0.0355885,-0.0116347,0.00169128,1.51048,0.0220705,0.00392376,0.00300011,0.999744,0.044122,0.00797803,0.00582571
0.0454521,-0.0117289,0.00161695,1.51048,0.0221741,0.0038498,0.00300828,0.999742,0.0443296,0.00783111,0.00584449
0.0556693,-0.0118511,0.00153281,1.51047,0.0222664,0.00383489,0.00300493,0.99974,0.0445142,0.00780169,0.00583774
0.0655777,-0.0119714,0.00141081,1.51045,0.0223258,0.00373535,0.00305014,0.999739,0.0446332,0.00760502,0.00593211
0.0755111,-0.0121168,0.00129161,1.51041,0.0223714,0.00363162,0.00309877,0.999738,0.0447247,0.00740005,0.00603363
0.0855062,-0.0122712,0.00114822,1.51037,0.0224283,0.00345766,0.00316404,0.999737,0.0448391,0.00705549,0.00617151
0.0955167,-0.0125043,0.0009858,1.51027,0.0224767,0.00340044,0.00319572,0.999736,0.0449361,0.00694281,0.00623707
0.105472,-0.0127728,0.000836465,1.51015,0.0225108,0.00346847,0.00319272,0.999735,0.0450039,0.00707891,0.00622779
0.115431,-0.0129894,0.00066572,1.51005,0.0225698,0.00343963,0.00319545,0.999734,0.045122,0.00702174,0.00623413
0.125464,-0.0132056,0.000494716,1.5099,0.0226189,0.00344026,0.00318354,0.999733,0.0452204,0.00702276,0.00620995
0.13549,-0.013438,0.000308692,1.50974,0.022631,0.00344934,0.00316619,0.999733,0.0452446,0.00704021,0.00617475
0.145532,-0.013711,9.2544e-05,1.50952,0.0225563,0.00347703,0.00318087,0.999734,0.045095,0.00709577,0.00620339
0.155685,-0.0140012,-0.000105424,1.50927,0.0224537,0.00356594,0.00317664,0.999736,0.0448891,0.00727271,0.00619168
0.165604,-0.0142648,-0.00031893,1.50901,0.0223542,0.00364136,0.00317747,0.999738,0.0446896,0.00742294,0.0061907
0.175637,-0.0145367,-0.000498884,1.50876,0.0222478,0.0037423,0.00317245,0.99974,0.0444763,0.00762388,0.00617696
0.185571,-0.0147421,-0.000680415,1.50856,0.022186,0.00378759,0.00315859,0.999742,0.0443525,0.00771345,0.00614771
0.195605,-0.0149538,-0.000858731,1.50834,0.0221099,0.00387065,0.00314563,0.999743,0.0441999,0.0078785,0.00611871
0.205557,-0.015154,-0.0010199,1.50811,0.0220285,0.00399085,0.00311103,0.999745,0.0440367,0.00811681,0.00604488
0.215618,-0.0154076,-0.00122813,1.50783,0.0218712,0.00413565,0.0031053,0.999747,0.043721,0.00840514,0.00602838
0.225601,-0.0156536,-0.00141294,1.50757,0.0216793,0.00429876,0.00309896,0.999751,0.0433363,0.00872986,0.00601026
0.235595,-0.0158866,-0.00156912,1.50736,0.0214445,0.00447426,0.00309032,0.999755,0.0428657,0.009079,0.00598751
0.245584,-0.0161138,-0.00173151,1.50713,0.0212025,0.00466382,0.00307994,0.99976,0.0423806,0.00945615,0.00596092
0.255585,-0.0163014,-0.00186293,1.50697,0.0209957,0.00485487,0.00304998,0.999763,0.0419663,0.00983567,0.00589497
0.265459,-0.0164675,-0.00197222,1.50685,0.0207771,0.00504475,0.00302514,0.999767,0.0415281,0.010213,0.00583957
0.275521,-0.0166382,-0.00211606,1.50668,0.020574,0.00526198,0.00299042,0.99977,0.0411211,0.0106448,0.0057633
0.285542,-0.0167967,-0.00223366,1.50653,0.0203637,0.005484,0.00295504,0.999773,0.0406995,0.0110861,0.00568578
0.295543,-0.0169934,-0.00233066,1.50639,0.0200935,0.00573053,0.00293969,0.999777,0.0401578,0.0115769,0.00564818
0.305522,-0.0171626,-0.00241288,1.50629,0.0198134,0.00598442,0.00292892,0.999781,0.0395964,0.0120826,0.00561985
0.315492,-0.0173225,-0.00248073,1.50621,0.0195283,0.00624613,0.00291945,0.999786,0.0390247,0.0126039,0.00559416
0.325502,-0.0174648,-0.00253588,1.50615,0.0192437,0.00650927,0.00291068,0.999789,0.0384541,0.0131282,0.00557012
0.335464,-0.0176089,-0.00257165,1.50611,0.0189539,0.00683071,0.00288336,0.999793,0.0378732,0.0137683,0.00550714
0.345461,-0.017699,-0.00260626,1.50612,0.0186704,0.00708152,0.00287418,0.999797,0.0373049,0.014268,0.00548334
0.355487,-0.0177516,-0.00260868,1.5062,0.0184431,0.00731705,0.00284415,0.999799,0.0368496,0.0147366,0.00541786
0.365549,-0.0178051,-0.00259962,1.50626,0.0182376,0.00756128,0.00281544,0.999801,0.0364377,0.0152228,0.00535461
0.375578,-0.0178446,-0.00259205,1.50632,0.0180658,0.00780998,0.0027924,0.999802,0.0360932,0.0157184,0.00530219
